layer_idx,filter_idx,iterations,learning_rate,tv_reg,l2_reg,final_activation,final_target_loss,final_suppression_loss,final_tv_loss,final_l2_loss,loss_reduction,grad_variation,loss_slope_lastk,loss_std_lastk,grad_mean_lastk,converged
36,30,1000,0.01,1e-05,1e-05,5266.50634765625,-5266.50634765625,1923.42578125,14.77051067352295,78.8822250366211,3165.1637115478516,0.27244128272295515,-3.302204479977722,190.6505531140291,3.702560594081879,False
36,30,1000,0.01,1e-05,0.0001,5266.4306640625,-5266.4306640625,1923.751953125,14.754144668579102,78.94464111328125,3164.754867553711,0.2731430874249319,-3.3074642223111246,190.95418293454247,3.70555935382843,False
36,30,1000,0.01,0.0001,0.0,5264.9267578125,-5264.9267578125,1923.230224609375,14.781709671020508,0.0,3163.7792205810547,0.27113424551042586,-3.303182867169335,190.7070273121301,3.7014822864532473,False
36,30,1000,0.01,0.0001,1e-06,5255.765625,-5255.765625,1919.9425048828125,14.770624160766602,78.8870849609375,3157.9059295654297,0.2705515918619811,-3.2985975865216934,190.44224807501834,3.7001224255561826,False
36,30,1000,0.01,0.0001,1e-05,5257.9384765625,-5257.9384765625,1920.690673828125,14.780227661132812,78.9824447631836,3159.3297729492188,0.26826268348540505,-3.296724296220199,190.33411566946612,3.6957161056995393,False
36,30,1000,0.01,0.0001,0.0001,5262.0966796875,-5262.0966796875,1923.37158203125,14.76511001586914,79.01324462890625,3160.800079345703,0.26978502760552664,-3.3018323309645243,190.6290008271753,3.6973330104351043,False
36,30,1000,0.01,0.0005,0.0,5263.35546875,-5263.35546875,1922.5679931640625,14.79171371459961,0.0,3162.8646240234375,0.26958872327316113,-3.3030793241144507,190.70105177096667,3.6964199233055113,False
36,30,1000,0.01,0.0005,1e-06,5266.990234375,-5266.990234375,1923.9384765625,14.756549835205078,78.92530822753906,3165.1287841796875,0.2736949414710518,-3.3073019020299728,190.94482783303073,3.7078944849967956,False
36,30,1000,0.01,0.0005,1e-05,5268.11572265625,-5268.11572265625,1925.21337890625,14.760475158691406,78.95500946044922,3164.9786529541016,0.27281226972663325,-3.3044191086466617,190.7783717020638,3.706603937149048,False
36,30,1000,0.01,0.0005,0.0001,5265.9296875,-5265.9296875,1924.2637939453125,14.752214431762695,78.88282775878906,3163.735336303711,0.2724949033642345,-3.2992973613402836,190.4826639483259,3.7050561130046846,False
36,30,1000,0.02,0.0,0.0,10547.51953125,-10547.51953125,3857.405517578125,0.0,0.0,6512.1983642578125,0.2653175713142509,-6.718641825176488,387.8961277599991,3.823504899740219,False
36,30,1000,0.02,0.0,1e-06,10541.7138671875,-10541.7138671875,3854.48876953125,0.0,294.6386413574219,6509.3087158203125,0.26409693105043863,-6.703113117622863,386.99960968462585,3.817629736661911,False
36,30,1000,0.02,0.0,1e-05,10535.1005859375,-10535.1005859375,3854.4462890625,0.0,294.70257568359375,6502.735488891602,0.2631145738265694,-6.704743976631642,387.0937480506085,3.8179391634464266,False
36,30,1000,0.02,0.0,0.0001,10540.861328125,-10540.861328125,3855.824951171875,0.0,294.2488708496094,6507.091049194336,0.26564083980840014,-6.709180259535786,387.34994316531123,3.82309628367424,False
36,30,1000,0.02,1e-05,0.0,10539.7529296875,-10539.7529296875,3854.7939453125,29.769977569580078,0.0,6507.0426025390625,0.26361294792030393,-6.697105962194953,386.6527742484611,3.819801936149597,False
36,30,1000,0.02,1e-05,1e-06,10538.2890625,-10538.2890625,3855.338623046875,29.696022033691406,294.56719970703125,6505.0333251953125,0.262736268011593,-6.698421655121458,386.7287357532336,3.815890979766846,False
36,30,1000,0.02,1e-05,1e-05,10544.9521484375,-10544.9521484375,3855.87841796875,29.746627807617188,294.67962646484375,6511.154434204102,0.261861245752473,-6.743214826098192,389.3148778340653,3.8137144696712495,False
